FIPS,CountyNo,Name,Total,Anglo,Black,Hispanic,Other
229,115,Hudspeth,"3,476",648,35,"2,768",25
231,116,Hunt,"86,129","65,186","7,413","11,751","1,779"
233,117,Hutchinson,"22,150","16,721",616,"4,386",427
235,118,Irion,"1,599","1,154",11,407,27
237,119,Jack,"9,044","7,332",352,"1,283",77
239,120,Jackson,"14,075","8,940",961,"4,079",95
241,121,Jasper,"35,710","27,094","6,178","2,017",421
243,122,Jeff Davis,"2,342","1,517",18,790,17
245,123,Jefferson,"252,273","113,480","85,976","42,899","9,918"
247,124,Jim Hogg,"5,300",346,19,"4,907",28
249,125,Jim Wells,"40,838","8,139",156,"32,254",289
251,126,Johnson,"150,934","116,772","4,394","27,319","2,449"
253,127,Jones,"20,202","12,675","2,352","5,009",166
255,128,Karnes,"14,824","5,964","1,359","7,376",125
257,129,Kaufman,"103,350","72,978","11,151","17,548","1,673"
259,130,Kendall,"33,410","26,020",158,"6,829",403
261,131,Kenedy,416,86,2,319,9
263,132,Kent,808,677,6,120,5
265,133,Kerr,"49,625","36,202",841,"11,895",687
267,134,Kimble,"4,607","3,469",16,"1,077",45
269,135,King,286,246,0,39,1
271,136,Kinney,"3,598","1,520",39,"2,004",35
273,137,Kleberg,"32,061","7,607","1,126","22,495",833
275,138,Knox,"3,719","2,353",239,"1,101",26
277,139,Lamar,"49,793","38,570","7,011","3,223",989
279,140,Lamb,"13,977","6,092",578,"7,231",76
281,141,Lampasas,"19,677","15,130",662,"3,443",442
283,142,La Salle,"6,886",911,19,"5,920",36
285,143,Lavaca,"19,263","14,770","1,295","3,077",121
287,144,Lee,"16,612","10,862","1,906","3,724",120
289,145,Leon,"16,801","13,185","1,214","2,260",142
291,146,Liberty,"75,643","52,801","8,443","13,602",797
293,147,Limestone,"23,384","14,526","4,212","4,465",181
295,148,Lipscomb,"3,302","2,254",7,"1,007",34
297,149,Live Oak,"11,531","6,873",468,"4,060",130
299,150,Llano,"19,301","17,460",120,"1,542",179
301,151,Loving,82,60,0,18,4
303,152,Lubbock,"278,831","161,401","21,063","88,924","7,443"
305,153,Lynn,"5,915","3,011",120,"2,743",41
307,154,Mcculloch,"8,283","5,606",140,"2,476",61
309,155,Mclennan,"234,906","139,706","35,343","55,471","4,386"
311,156,Mcmullen,707,435,8,261,3
313,157,Madison,"13,664","8,080","2,737","2,688",159
315,158,Marion,"10,546","7,703","2,382",328,133
317,159,Martin,"4,799","2,585",96,"2,086",32
319,160,Mason,"4,012","3,110",16,864,22
321,161,Matagorda,"36,702","17,530","4,187","14,074",911
323,162,Maverick,"54,258","1,595",86,"51,914",663
325,163,Medina,"46,006","21,644","1,013","22,871",478
327,164,Menard,"2,242","1,431",11,790,10
329,165,Midland,"136,872","73,549","9,186","51,600","2,537"
331,166,Milam,"24,757","16,285","2,449","5,780",243
333,167,Mills,"4,936","4,065",27,818,26
335,168,Mitchell,"9,403","4,791","1,050","3,481",81
337,169,Montague,"19,719","17,528",59,"1,930",202
339,170,Montgomery,"455,746","328,255","20,153","94,698","12,640"
341,171,Moore,"21,904","8,500",296,"11,542","1,566"
343,172,Morris,"12,934","8,698","3,089","1,003",144
345,173,Motley,"1,210","1,015",24,163,8
347,174,Nacogdoches,"64,524","40,059","11,943","11,356","1,166"
349,175,Navarro,"47,735","28,790","6,698","11,345",902
351,176,Newton,"14,445","10,951","2,948",403,143
353,177,Nolan,"15,216","9,234",767,"5,103",112
355,178,Nueces,"340,223","113,598","13,067","206,293","7,265"
357,179,Ochiltree,"10,223","5,127",21,"4,982",93
359,180,Oldham,"2,052","1,718",63,243,28
361,181,Orange,"81,837","68,559","7,203","4,766","1,309"
363,182,Palo Pinto,"28,111","22,139",682,"4,985",305
365,183,Panola,"23,796","17,617","3,945","1,970",264
367,184,Parker,"116,927","100,753","2,172","12,410","1,592"
369,185,Parmer,"10,269","3,967",93,"6,164",45
371,186,Pecos,"15,507","4,381",543,"10,430",153
373,187,Polk,"45,413","33,117","5,348","5,959",989
375,188,Potter,"121,073","60,073","12,662","42,692","5,646"
377,189,Presidio,"7,818","1,165",32,"6,521",100
379,190,Rains,"10,914","9,647",277,839,151
381,191,Randall,"120,725","95,277","3,238","19,775","2,435"
383,192,Reagan,"3,367","1,238",69,"2,051",9
385,193,Real,"3,309","2,437",20,814,38
387,194,Red River,"12,860","9,622","2,264",849,125
389,195,Reeves,"13,783","2,691",673,"10,233",186
391,196,Refugio,"7,383","3,379",456,"3,487",61
393,197,Roberts,929,850,0,74,5
395,198,Robertson,"16,622","9,929","3,551","2,990",152
397,199,Rockwall,"78,337","58,696","4,702","12,470","2,469"
399,200,Runnels,"10,501","6,885",177,"3,361",78
401,201,Rusk,"53,330","35,529","9,652","7,609",540
403,202,Sabine,"10,834","9,583",814,344,93
405,203,San Augustine,"8,865","6,251","2,034",532,48
407,204,San Jacinto,"26,384","20,442","2,783","2,880",279
409,205,San Patricio,"64,804","27,683","1,063","35,248",810
411,206,San Saba,"6,131","4,180",194,"1,715",42
413,207,Schleicher,"3,461","1,888",32,"1,536",5
415,208,Scurry,"16,921","9,810",801,"6,149",161
417,209,Shackelford,"3,378","2,994",24,340,20
419,210,Shelby,"25,448","16,590","4,540","4,164",154
421,211,Sherman,"3,034","1,777",12,"1,227",18
